year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2012;3;1;0;-0.11;0;0;0.00501508;-0.00501508
2012;4;1;0;-0.08;0;0;0.00364733;-0.00364733
2012;5;1;0;-3.06;0;0;0.13951047;-0.13951047
2012;6;1;0;0.01;0;0;-0.00045592;0.00045592
2012;7;1;-0.25;-0.1;0;-0.25;-0.12044083;-0.12955917
2012;8;1;0;0.02;0;0;-0.00091183;0.00091183
2012;9;1;0;-2.08;0;0;0.09483065;-0.09483065
2012;10;1;0;0.07;0;0;-0.00319142;0.00319142
2012;11;1;-0.25;-1.45;0;-0.25;-0.0588921;-0.1911079
2012;12;1;-0.25;0.03;-0.25;0;-0.12636775;-0.12363225
2013;1;1;0;0.04;0;0;-0.00182367;0.00182367
2013;2;1;0;1.74;0;0;-0.07932948;0.07932948
2013;3;1;-0.25;-1.55;0;-0.25;-0.05433293;-0.19566707
2013;4;1;0;1.48;0;0;-0.06747565;0.06747565
2013;5;1;0;2.11;0;0;-0.0961984;0.0961984
2013;6;1;0;2.57;0;0;-0.11717056;0.11717056
2013;7;1;0;2.03;0;0;-0.09255107;0.09255107
2013;8;1;0;-1.89;0;0;0.08616823;-0.08616823
2013;9;1;0;-8.88E-16;0;0;0;0
2013;10;1;0;0.03;0;0;-0.00136775;0.00136775
2013;11;1;0;0;0;0;0;0
2013;12;1;0;0.04;0;0;-0.00182367;0.00182367
2014;1;1;0;0.07;0;0;-0.00319142;0.00319142
2014;2;1;0;-0.02;0;0;0.00091183;-0.00091183
2014;3;1;0;4.44E-16;0;0;0;0
2014;4;1;0.25;-0.05;0.25;0;0.12727958;0.12272042
2014;5;1;0;0.18;0;0;-0.0082065;0.0082065
2014;6;1;0;-0.08;0;0;0.00364733;-0.00364733
2014;7;1;0;0.17;0;0;-0.00775058;0.00775058
2014;8;1;0;-0.05;0;0;0.00227958;-0.00227958
2014;9;1;0;0.09;0;0;-0.00410325;0.00410325
2014;10;1;0;-0.33;0;0;0.01504525;-0.01504525
2014;11;1;0;-0.02;0;0;0.00091183;-0.00091183
2014;12;1;0;-0.7;0;0;0.03191416;-0.03191416
2015;1;1;0;0.04;0;0;-0.00182367;0.00182367
2015;2;1;0;-0.01;0;0;0.00045592;-0.00045592
2015;3;1;0;-0.06;0;0;0.0027355;-0.0027355
2015;4;1;0;0.27;0;0;-0.01230975;0.01230975
2015;5;1;0;-0.24;0;0;0.010942;-0.010942
2015;6;1;0;-0.07;0;0;0.00319142;-0.00319142
2015;7;1;0;0.33;0;0;-0.01504525;0.01504525
2015;8;1;0;-0.03;0;0;0.00136775;-0.00136775
2015;9;1;0.25;0.08;0;0.25;0.12135267;0.12864733
2015;10;1;0.25;0.27;0;0.25;0.11269025;0.13730975
2015;11;1;-0.25;-0.03;0;-0.25;-0.12363225;-0.12636775
2015;12;1;0;0.03;0;0;-0.00136775;0.00136775
2016;1;1;0;-0.01;0;0;0.00045592;-0.00045592
2016;2;1;0;-0.05;0;0;0.00227958;-0.00227958
2016;3;1;0;0.09;0;0;-0.00410325;0.00410325
2016;4;1;0.25;0.11;0;0.25;0.11998492;0.13001508
2016;5;1;0;0.05;0;0;-0.00227958;0.00227958
2016;6;1;0;-0.02;0;0;0.00091183;-0.00091183
2016;7;1;0;-0.62;0;0;0.02826683;-0.02826683
2016;8;1;0;-0.15;0;0;0.00683875;-0.00683875
2016;9;1;0;-0.04;0;0;0.00182367;-0.00182367
2016;10;1;0;-0.02;0;0;0.00091183;-0.00091183
2016;11;1;0;0.05;0;0;-0.00227958;0.00227958
2016;12;1;-0.25;-0.05;0;-0.25;-0.12272042;-0.12727958
2017;1;1;0.25;0.16;0;0.25;0.11770533;0.13229467
2017;2;1;-0.25;-0.07;0;-0.25;-0.12180858;-0.12819142
