year,month,day,MPShock,StockShock,MP_pm,CBI_pm,MP_median,CBI_median
2015,4,1,-0.012,0.27,-0.012,-0,-0.02603975,0.01403975
2015,5,1,-0.008,-0.24,-0,-0.008,0.01381311,-0.02181311
2015,6,1,-0.011,-0.07,-0,-0.011,-0.00030451,-0.01069549
2015,7,1,-0.034,0.33,-0.034,-0,-0.04149303,0.00749303
2015,8,1,-0.115,-0.03,-0,-0.115,-0.05527336,-0.05972664
2015,9,1,0.139,0.08,0,0.139,0.0635623,0.0754377
2015,10,1,0.136,0.27,0,0.136,0.04796025,0.08803975
2015,11,1,-0.144,-0.03,-0,-0.144,-0.06977336,-0.07422664
2015,12,1,-0.083,0.03,-0.083,-0,-0.04372664,-0.03927336
2016,1,1,-0.085,-0.01,-0,-0.085,-0.04175779,-0.04324221
2016,2,1,-0.083,-0.05,-0,-0.083,-0.03778893,-0.04521107
2016,3,1,0.046,0.09,0,0.046,0.01632008,0.02967992
2016,4,1,0.203,0.11,0,0.203,0.09333566,0.10966434
2016,5,1,-0.044,0.05,-0.044,-0,-0.02571107,-0.01828893
2016,6,1,-0.008,-0.02,-0,-0.008,-0.00251557,-0.00548443
2016,7,1,0.079,-0.62,0.079,0,0.08551721,-0.00651721
2016,8,1,-0.092,-0.15,-0,-0.092,-0.0348668,-0.0571332
2016,9,1,0.001,-0.04,0.001,0,0.00346885,-0.00246885
2016,10,1,0.006,-0.02,0.006,0,0.00448443,0.00151557
2016,11,1,0.002,0.05,0,0.002,-0.00271107,0.00471107
2016,12,1,-0.21,-0.05,-0,-0.21,-0.10128893,-0.10871107
2017,1,1,0.168,0.16,0,0.168,0.07212459,0.09587541
2017,2,1,-0.149,-0.07,-0,-0.149,-0.06930451,-0.07969549
2017,3,1,0.1,-0.01,0.1,0,0.05074221,0.04925779
2017,4,1,-0.037,-0.13,-0,-0.037,-0.00885123,-0.02814877
2017,5,1,0.099,-0.01,0.099,0,0.05024221,0.04875779
2017,6,1,-0.009,-0.24,-0,-0.009,0.01331311,-0.02231311
2017,7,1,0.073,-0.02,0.073,0,0.03798443,0.03501557
2017,8,1,0.029,0.03,0,0.029,0.01227336,0.01672664
2017,9,1,0.067,0.05,0,0.067,0.02978893,0.03721107
2017,10,1,-0.189,-0.09,-0,-0.189,-0.08782008,-0.10117992
2017,11,1,-0.051,-0.09,-0,-0.051,-0.01882008,-0.03217992
2017,12,1,0.026,-4.44089e-16,0.026,0,0.013,0.013
2018,1,1,-0.128,0.05,-0.128,-0,-0.06771107,-0.06028893
2018,2,1,0,0,0,0,0,0
2018,3,1,0.068,-0.02,0.068,0,0.03548443,0.03251557
2018,4,1,-0.006,0.06,-0.006,-0,-0.00745328,0.00145328
2018,5,1,0,0,0,0,0,0
2018,6,1,-0.005,-0.21,-0,-0.005,0.01308647,-0.01808647
2018,7,1,0,-0.29,0,0,0.02152418,-0.02152418
2018,8,1,0,0,0,0,0,0
2018,9,1,0.001,8.88178e-16,0,0.001,0.0005,0.0005
2018,10,1,-0.002,-8.88178e-16,-0,-0.002,-0.001,-0.001
2018,11,1,0,0,0,0,0,0
2018,12,1,0,0.8,0,0,-0.05937704,0.05937704
2019,1,1,0,0.14,0,0,-0.01039098,0.01039098
2019,2,1,0,0,0,0,0,0
2019,3,1,0.001,-0.09,0.001,0,0.00717992,-0.00617992
2019,4,1,0,0.13,0,0,-0.00964877,0.00964877
2019,5,1,0,0,0,0,0,0
2019,6,1,0.004,0.09,0,0.004,-0.00467992,0.00867992
2019,7,1,0.011,0,0,0.011,0.0055,0.0055
2019,8,1,0,0,0,0,0,0
2019,9,1,-0.001,0.01,-0.001,-0,-0.00124221,0.00024221
2019,10,1,-0.003,1.27,-0.003,-0,-0.09576106,0.09276106
2019,11,1,0,0,0,0,0,0
2019,12,1,0,1.03,0,0,-0.07644794,0.07644794
2020,1,1,-0.003,-0.19,-0,-0.003,0.01260205,-0.01560205
2020,2,1,-0.001,0,-0,-0.001,-0.0005,-0.0005
2020,3,1,-0.103,0.07,-0.103,-0,-0.05669549,-0.04630451
2020,4,1,0.077,0.13,0,0.077,0.02885123,0.04814877
2020,5,1,0.003,-0.15,0.003,0,0.0126332,-0.0096332
2020,6,1,0.143,0.14,0,0.143,0.06110902,0.08189098
2020,7,1,-0.012,0.17,-0.012,-0,-0.01861762,0.00661762
2020,8,1,-0.047,0.1,-0.047,-0,-0.03092213,-0.01607787
2020,9,1,-0.129,-0.14,-0,-0.129,-0.05410902,-0.07489098
2020,10,1,0.003,-0.03,0.003,0,0.00372664,-0.00072664
2020,11,1,-0.006,2.22045e-16,-0.006,-0,-0.003,-0.003
2020,12,1,-0.003,0.13,-0.003,-0,-0.01114877,0.00814877
2021,1,1,0.027,0.01,0,0.027,0.01275779,0.01424221
2021,2,1,-0.001,0,-0,-0.001,-0.0005,-0.0005
2021,3,1,0.004,0.14,0,0.004,-0.00839098,0.01239098
2021,4,1,0.007,0.16,0,0.007,-0.00837541,0.01537541
2021,5,1,-0.006,0,-0,-0.006,-0.003,-0.003
2021,6,1,-0.034,0.09,-0.034,-0,-0.02367992,-0.01032008
2021,7,1,-0.001,0.03,-0.001,-0,-0.00272664,0.00172664
2021,8,1,-0.023,0,-0,-0.023,-0.0115,-0.0115
2021,9,1,-0.083,0.04,-0.083,-0,-0.04446885,-0.03853115
2021,10,1,0.076,0.16,0,0.076,0.02612459,0.04987541
2021,11,1,0,0,0,0,0,0
2021,12,1,-0.129,0.09,-0.129,-0,-0.07117992,-0.05782008
2022,1,1,0.133,0.08,0,0.133,0.0605623,0.0724377
2022,2,1,0,0,0,0,0,0
2022,3,1,-0.467,-0.3,-0,-0.467,-0.21123361,-0.25576639
2022,4,1,-0.046,0.2,-0.046,-0,-0.03784426,-0.00815574
2022,5,1,0,0,0,0,0,0
2022,6,1,0.003,0.01,0,0.003,0.00075779,0.00224221
2022,7,1,0.017,-0.06,0.017,0,0.01295328,0.00404672
2022,8,1,0,0,0,0,0,0
2022,9,1,-0.349,-0.17,-0,-0.349,-0.16188238,-0.18711762
2022,10,1,-0.016,0.13,-0.016,-0,-0.01764877,0.00164877
2022,11,1,0,0,0,0,0,0
2022,12,1,0.201,1.77636e-15,0,0.201,0.1005,0.1005
2023,1,1,0.083,0.13,0,0.083,0.03185123,0.05114877
2023,2,1,0,0,0,0,0,0
2023,3,1,0.013,-0.07,0.013,0,0.01169549,0.00130451
2023,4,1,0.133,0.16,0,0.133,0.05462459,0.07837541
2023,5,1,0,0,0,0,0,0
2023,6,1,0.002,0.16,0,0.002,-0.01087541,0.01287541
2023,7,1,0,0.07,0,0,-0.00519549,0.00519549
2023,8,1,0,0,0,0,0,0
2023,9,1,0.011,0.07,0,0.011,0.00030451,0.01069549
2023,10,1,-0.001,0.09,-0.001,-0,-0.00717992,0.00617992
2023,11,1,0,0,0,0,0,0
2023,12,1,-0.1,0.03,-0.1,-0,-0.05222664,-0.04777336
2024,1,1,0.183,-0.06,0.183,0,0.09595328,0.08704672
2024,2,1,0,0,0,0,0,0
2024,3,1,-0.018,0.08,-0.018,-0,-0.0149377,-0.0030623
2024,4,1,-0.022,-0.03,-0,-0.022,-0.00877336,-0.01322664
2024,5,1,0,0,0,0,0,0
2024,6,1,0.028,-1.23,0.028,0,0.10529221,-0.07729221
2024,7,1,0.012,-0.01,0.012,0,0.00674221,0.00525779
2024,8,1,0,0,0,0,0,0
2024,9,1,0.078,0.01,0,0.078,0.03825779,0.03974221
2024,10,1,0.017,0.17,0,0.017,-0.00411762,0.02111762
2024,11,1,0,0,0,0,0,0
2024,12,1,0.237,1.09,0,0.237,0.03759878,0.19940122
2025,1,1,0.145,-0.01,0.145,0,0.07324221,0.07175779
2025,2,1,0,0,0,0,0,0
2025,3,1,0,-0.01,0,0,0.00074221,-0.00074221
2025,4,1,-0.25,0.4,-0.25,-0,-0.15468852,-0.09531148
2025,5,1,0,0,0,0,0,0
2025,6,1,0,-0.1,0,0,0.00742213,-0.00742213
