year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2015;11;1;-0.25;0.019399787;-0.25;0;-0.24009609;-0.00990391
2015;12;1;0;-0.007678595;0;0;0.04555598;-0.04555598
2016;1;1;0;0.00478;0;0;-0.02835904;0.02835904
2016;2;1;0;0.001165379;0;0;-0.00691402;0.00691402
2016;3;1;0;0.005413588;0;0;-0.03211802;0.03211802
2016;4;1;0.25;5.96E-05;0;0.25;0.1246464;0.1253536
2016;5;1;0;-0.007591939;0;0;0.04504186;-0.04504186
2016;6;1;0;0.002507692;0;0;-0.01487777;0.01487777
2016;7;1;0;-0.00168309;0;0;0.00998553;-0.00998553
2016;8;1;0;-0.000558054;0;0;0.00331085;-0.00331085
2016;9;1;0;-0.006188676;0;0;0.03671651;-0.03671651
2016;10;1;0;0.003352299;0;0;-0.0198887;0.0198887
2016;11;1;0;-0.004408974;0;0;0.0261578;-0.0261578
2016;12;1;-0.25;-0.00111871;0;-0.25;-0.11836286;-0.13163714
2017;1;1;0.25;-0.0056183;0.25;0;0.15833255;0.09166745
2017;2;1;-0.25;0.000659665;-0.25;0;-0.1289137;-0.1210863
2017;3;1;0;0.000354042;0;0;-0.00210048;0.00210048
2017;4;1;-0.25;0.001187739;-0.25;0;-0.13204668;-0.11795332
2017;5;1;0;-0.003345988;0;0;0.01985126;-0.01985126
2017;6;1;0;0.008338913;0;0;-0.04947355;0.04947355
2017;7;1;0;0.004746279;0;0;-0.02815898;0.02815898
2017;8;1;0;0.007996172;0;0;-0.04744012;0.04744012
2017;9;1;0;1.34E-05;0;0;-7.95E-05;7.95E-05
2017;10;1;-0.25;-0.00549;0;-0.25;-0.09242863;-0.15757137
2017;11;1;-0.25;-0.002285905;0;-0.25;-0.11143806;-0.13856194
2017;12;1;0;-0.007053467;0;0;0.04184719;-0.04184719
2018;1;1;0;-0.009693982;0;0;0.05751298;-0.05751298
2018;2;1;0;0;0;0;0;0
2018;3;1;0;0.006169609;0;0;-0.03660339;0.03660339
2018;4;1;0;-0.000568325;0;0;0.00337179;-0.00337179
2018;5;1;0;0;0;0;0;0
2018;6;1;0;-0.01;0;0;0.05932854;-0.05932854
2018;7;1;0;0.007781484;0;0;-0.0461664;0.0461664
2018;8;1;0;0;0;0;0;0
2018;9;1;0;0.004570997;0;0;-0.02711906;0.02711906
2018;10;1;0;-0.003376795;0;0;0.02003403;-0.02003403
2018;11;1;0;0;0;0;0;0
2018;12;1;0;-0.000199734;0;0;0.00118499;-0.00118499
2019;1;1;0;0.010326522;0;0;-0.06126574;0.06126574
2019;2;1;0;0;0;0;0;0
2019;3;1;0;0.00614192;0;0;-0.03643911;0.03643911
2019;4;1;0;-0.004623408;0;0;0.02743;-0.02743
2019;5;1;0;0;0;0;0;0
2019;6;1;0;-0.001494524;0;0;0.00886679;-0.00886679
2019;7;1;0;0;0;0;0;0
2019;8;1;0;0;0;0;0;0
2019;9;1;0;-0.003801475;0;0;0.02255359;-0.02255359
2019;10;1;0;0.00776453;0;0;-0.04606582;0.04606582
2019;11;1;0;0;0;0;0;0
2019;12;1;0;0.013410522;0;0;-0.07956266;0.07956266
2020;1;1;0;0.000831022;0;0;-0.00493033;0.00493033
2020;2;1;0;0;0;0;0;0
2020;3;1;-0.25;-0.016128815;0;-0.25;-0.0293101;-0.2206899
2020;4;1;0;-0.032581737;0;0;0.19330267;-0.19330267
2020;5;1;0.02;0.019143233;0;0.02;-0.103574;0.123574
2020;6;1;0.16;-0.001701393;0.16;0;0.09009412;0.06990588
2020;7;1;0;-0.001093745;0;0;0.00648903;-0.00648903
2020;8;1;0;0.032149513;0;0;-0.19073835;0.19073835
2020;9;1;-0.09;0.004522987;-0.09;0;-0.07183422;-0.01816578
