year,month,day,MPShock,StockShock,MP_pm,CBI_pm,MP_median,CBI_median
2014,11,1,0.004,-0.010290827,0.004,0,0.09189173,-0.08789173
2014,12,1,0.002,0.042154567,0,0.002,-0.3672257,0.3692257
2015,1,1,0,0.013728229,0,0,-0.11991789,0.11991789
2015,2,1,0.002,0.005108019,0,0.002,-0.04361922,0.04561922
2015,3,1,-0.001,-0.005812458,-0,-0.001,0.05027259,-0.05127259
2015,4,1,-0.012,0.01286712,-0.012,-0,-0.11839599,0.10639599
2015,5,1,-0.008,-0.00433111,-0,-0.008,0.03383282,-0.04183282
2015,6,1,-0.011,-0.011796221,-0,-0.011,0.09754155,-0.10854155
2015,7,1,-0.034,-0.014128675,-0,-0.034,0.10641584,-0.14041584
2015,8,1,-0.115,-0.035821592,-0,-0.115,0.25540633,-0.37040633
2015,9,1,0.139,-0.010048092,0.139,0,0.15727141,-0.01827141
2015,10,1,0.136,-0.0001642,0.136,0,0.06943431,0.06656569
2015,11,1,-0.144,0.019399787,-0.144,-0,-0.2414597,0.0974597
2015,12,1,-0.083,-0.007678595,-0,-0.083,0.02557354,-0.10857354
2016,1,1,-0.085,0.00478,-0.085,-0,-0.08425393,-0.00074607
2016,2,1,-0.083,0.001165379,-0.083,-0,-0.05167974,-0.03132026
2016,3,1,0.046,0.005413588,0,0.046,-0.02428841,0.07028841
2016,4,1,0.203,5.95921e-05,0,0.203,0.10097946,0.10202054
2016,5,1,-0.044,-0.007591939,-0,-0.044,0.04431659,-0.08831659
2016,6,1,-0.008,0.002507692,-0.008,-0,-0.02590502,0.01790502
2016,7,1,0.079,-0.00168309,0.079,0,0.05420201,0.02479799
2016,8,1,-0.092,-0.000558054,-0,-0.092,-0.04112532,-0.05087468
2016,9,1,0.001,-0.006188676,0.001,0,0.0545589,-0.0535589
2016,10,1,0.006,0.003352299,0,0.006,-0.02628277,0.03228277
2016,11,1,0.002,-0.004408974,0.002,0,0.03951297,-0.03751297
2016,12,1,-0.21,-0.00111871,-0,-0.21,-0.09522792,-0.11477208
2017,1,1,0.168,-0.0056183,0.168,0,0.13307659,0.03492341
2017,2,1,-0.149,0.000659665,-0.149,-0,-0.08026226,-0.06873774
2017,3,1,0.1,0.000354042,0,0.1,0.0469074,0.0530926
2017,4,1,-0.037,0.001187739,-0.037,-0,-0.02887506,-0.00812494
2017,5,1,0.099,-0.003345988,0.099,0,0.07872765,0.02027235
2017,6,1,-0.009,0.008338913,-0.009,-0,-0.0773415,0.0683415
2017,7,1,0.073,0.004746279,0,0.073,-0.00495937,0.07795937
2017,8,1,0.029,0.007996172,0,0.029,-0.05534762,0.08434762
2017,9,1,0.067,1.34e-05,0,0.067,0.03338295,0.03361705
2017,10,1,-0.189,-0.00549,-0,-0.189,-0.04654413,-0.14245587
2017,11,1,-0.051,-0.002285905,-0,-0.051,-0.00553232,-0.04546768
2017,12,1,0.026,-0.007053467,0.026,0,0.07461296,-0.04861296
2018,1,1,-0.128,-0.009693982,-0,-0.128,0.02067821,-0.14867821
2018,2,1,0,0,0,0,0,0
2018,3,1,0.068,0.006169609,0,0.068,-0.01989235,0.08789235
2018,4,1,-0.006,-0.000568325,-0,-0.006,0.00196439,-0.00796439
2018,5,1,0,0,0,0,0,0
2018,6,1,-0.005,-0.01,-0,-0.005,0.08485132,-0.08985132
2018,7,1,0,0.007781484,0,0,-0.06797229,0.06797229
2018,8,1,0,0,0,0,0,0
2018,9,1,0.001,0.004570997,0,0.001,-0.03942826,0.04042826
2018,10,1,-0.002,-0.003376795,-0,-0.002,0.02849675,-0.03049675
2018,11,1,0,0,0,0,0,0
2018,12,1,0,-0.000199734,0,0,0.0017447,-0.0017447
2019,1,1,0,0.010326522,0,0,-0.09020353,0.09020353
2019,2,1,0,0,0,0,0,0
2019,3,1,0.001,0.00614192,0,0.001,-0.05315048,0.05415048
2019,4,1,0,-0.004623408,0,0,0.04038608,-0.04038608
2019,5,1,0,0,0,0,0,0
2019,6,1,0.004,-0.001494524,0.004,0,0.01505486,-0.01105486
2019,7,1,0.011,0,0,0.011,0.0055,0.0055
2019,8,1,0,0,0,0,0,0
2019,9,1,-0.001,-0.003801475,-0,-0.001,0.03270639,-0.03370639
2019,10,1,-0.003,0.00776453,-0.003,-0,-0.06932419,0.06632419
2019,11,1,0,0,0,0,0,0
2019,12,1,0,0.013410522,0,0,-0.11714268,0.11714268
2020,1,1,-0.003,0.000831022,-0.003,-0,-0.00875909,0.00575909
2020,2,1,-0.001,0,-0,-0.001,-0.0005,-0.0005
2020,3,1,-0.103,-0.016128815,-0,-0.103,0.08938733,-0.19238733
2020,4,1,0.077,-0.032581737,0.077,0,0.32310577,-0.24610577
2020,5,1,0.003,0.019143233,0,0.003,-0.16571866,0.16871866
2020,6,1,0.143,-0.001701393,0.143,0,0.08636189,0.05663811
2020,7,1,-0.012,-0.001093745,-0,-0.012,0.00355401,-0.01555401
2020,8,1,-0.047,0.032149513,-0.047,-0,-0.30433024,0.25733024
2020,9,1,-0.129,0.004522987,-0.129,-0,-0.10400889,-0.02499111
2020,10,1,0.003,0.012779224,0,0.003,-0.11012821,0.11312821
2020,11,1,-0.006,-0.002968562,-0,-0.006,0.02293078,-0.02893078
2020,12,1,-0.003,-0.035019717,-0,-0.003,0.30440185,-0.30740185
2021,1,1,0.027,0.006683252,0,0.027,-0.04487909,0.07187909
2021,2,1,-0.001,0,-0,-0.001,-0.0005,-0.0005
2021,3,1,0.004,0.004834392,0,0.004,-0.04022905,0.04422905
2021,4,1,0.007,-0.027586894,0.007,0,0.24447516,-0.23747516
2021,5,1,-0.006,0,-0,-0.006,-0.003,-0.003
2021,6,1,-0.034,-0.010981644,-0,-0.034,0.07892611,-0.11292611
2021,7,1,-0.001,-0.000566169,-0,-0.001,0.00444556,-0.00544556
2021,8,1,-0.023,0,-0,-0.023,-0.0115,-0.0115
2021,9,1,-0.083,0.006075709,-0.083,-0,-0.09457212,0.01157212
2021,10,1,0.076,-0.002542612,0.076,0,0.06021005,0.01578995
2021,11,1,0,0,0,0,0,0
2021,12,1,-0.129,-0.010166196,-0,-0.129,0.02430306,-0.15330306
