year;month;day;MPShock;Stock Shock
2021;10;1;0.17;0.16
2021;11;1;0;0
2021;12;1;0;0.09
2022;1;1;0.25;0.08
2022;2;1;0;0
2022;3;1;-0.5;-0.3
2022;4;1;0;0.2
2022;5;1;0;0
2022;6;1;0;0.01
2022;7;1;0;-0.06
2022;8;1;0;0
2022;9;1;-0.5;-0.17
2022;10;1;0;0.13
2022;11;1;0;0
2022;12;1;0;1.78E-15
2023;1;1;-0.25;0.13
2023;2;1;0;0
2023;3;1;0;-0.07
2023;4;1;0.25;0.16
2023;5;1;0;0
2023;6;1;0;0.16
2023;7;1;0;0.07
2023;8;1;0;0
2023;9;1;0;0.07
2023;10;1;0;0.09
2023;11;1;0;0
2023;12;1;0;0.03
2024;1;1;0.25;-0.06
2024;2;1;0;0
2024;3;1;0;0.08
2024;4;1;0;-0.03
2024;5;1;0;0
2024;6;1;0;-1.23
2024;7;1;0;-0.01
2024;8;1;0;0
2024;9;1;0;0.01
2024;10;1;0;0.17
2024;11;1;0;0
2024;12;1;0.25;1.09
2025;1;1;0.25;-0.01
2025;2;1;0;0
2025;3;1;0;-0.01
2025;4;1;-0.25;0.4
2025;5;1;0;0
2025;6;1;0;-0.1
