year;month;day;MPShock;Stock Shock
2024;3;1;0;-0.008588996
2024;4;1;0;0.015665239
2024;5;1;0;0
2024;6;1;0;0.001960565
2024;7;1;0;-0.002924686
2024;8;1;0;0
2024;9;1;0;-0.000344204
2024;10;1;0;-0.004175187
2024;11;1;0;0
2024;12;1;0.25;0.015246321
2025;1;1;0.25;-0.011174482
2025;2;1;0;0
2025;3;1;0.07;0.014019254
2025;4;1;-0.21;0.003342995
2025;5;1;0.05;0
2025;6;1;0.17;0.003864658
